first name,last name,exam marks,viva marks,Total Marks,,first name,last name,Full Name,Upper,Lower,Proper
Rahim,Khan,78,35,,,Rahim,Khan,,,,
Karim,Ahmed,65,48,,,Karim,Ahmed,,,,
Sohan,Ali,88,43,,,Sohan,Ali,,,,
Nayeem,Islam,55,30,,,Nayeem,Islam,,,,
Arif,Hossain,92,40,,,Arif,Hossain,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Highest Marks,,,,,,,,,,
,Lowest Marks,,,,,,,,,,
,Averages Marks,,,,,,,,,,
,Total Attendee,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Pass marks: 40,pass marks: 30,only exam pass,only one pass,both pass,,,,,
first name,last name,exam marks,viva marks,Result,Result,Result,,,,,
Rahim,Khan,78,35,,,,,,,,
Karim,Ahmed,65,48,,,,,,,,
Sohan,Ali,38,43,,,,,,,,
Nayeem,Islam,55,28,,,,,,,,
Arif,Hossain,92,40,,,,,,,,
