Date,Client,Client,Contact,Contact,Department,City,Payment,Revenue,Profit,Profit Margin
5/30/2023,"AMAZON.COM, INC. ","amazon.com, inc. ",     Bill SmITH,Bill Smith,Cloud Tech,Texas,Transfer,"$4,500 ",$598 ,13.30%
5/30/2023,"TESLA, INC. ","tesla, inc. ",KEN Singh,Ken Singh,Strategy,New York,PayPal,"$3,800 ","$1,045 ",27.50%
5/30/2023,"NETFLIX, INC. ","netflix, inc. ",  Harley        Fritz,Harley Fritz,Strategy,New York,N/A,"$3,713 ","$1,009 ",27.20%
5/30/2023,THE PROCTER & GAMBLE COMPANY ,the procter & gamble company ,Nyla Novak,Nyla Novak,Operations,Florida,N/A,N/A,$779 ,N/A
5/30/2023,"THE GOLDMAN SACHS GROUP, INC. ","the goldman sachs group, inc. ",David    Rasmussen,David Rasmussen,Operations,Florida,Check,"$5,000 ",$684 ,13.70%
5/31/2023,JPMORGAN CHASE & CO. ,jpmorgan chase & co. ,IVAN HINEY,Ivan Hiney,Cloud Tech,Texas,Transfer,"$6,100 ",$544 ,8.90%
5/31/2023,MORGAN STANLEY ,morgan stanley ,JONha Ma,Jonha Ma,Cloud Tech,Texas,Transfer,"$4,625 ",$670 ,14.50%
5/31/2023,CITIGROUP INC. ,citigroup inc. ,     Jordan Boone,Jordan Boone,Cloud Tech,Texas,Transfer,"$3,800 ","$2,045 ",53.80%
5/31/2023,BANK OF AMERICA CORPORATION ,bank of america corporation ,Kylee Townsend,Kylee Townsend,Cloud Tech,Texas,Card,"$3,600 ","$1,564 ",43.40%
5/31/2023,WALMART INC. ,walmart inc. ,Nora Rollins,Nora Rollins,Cloud Tech,Texas,Check,"$5,100 ","$1,220 ",23.90%
5/31/2023,TARGET CORPORATION ,target corporation ,BRENDAN Wallace,Brendan Wallace,Cloud Tech,Texas,Check,"$4,750 ","$1,435 ",30.20%
5/31/2023,COSTCO WHOLESALE CORPORATION ,costco wholesale corporation ,     Conor Wise,Conor Wise,Operations,Florida,Transfer,"$6,000 ",$998 ,16.60%
5/31/2023,MCDONALD'S CORPORATION ,mcdonald's corporation ,Steven     MIChael,Steven Michael,Big Data,California,Check,"$4,500 ",$780 ,17.30%
6/1/2023,EXXON MOBIL CORPORATION ,exxon mobil corporation ,Lucia Mckay,Lucia Mckay,Big Data,California,Card,N/A,"$1,044 ",N/A
6/1/2023,VERIZON COMMUNICATIONS INC. ,verizon communications inc. ,JoSE   Roach,Jose Roach,Big Data,California,Transfer,"$3,713 ","$1,222 ",32.90%
6/1/2023,"THE HOME DEPOT, INC. ","the home depot, inc. ",Franklin WRIGT,Franklin Wrigt,Big Data,California,Transfer,"$4,950 ","$1,065 ",21.50%
6/1/2023,"CISCO SYSTEMS, INC. ","cisco systems, inc. ",   Alia       Thornton,Alia Thornton,Operations,Florida,Transfer,"$4,750 ",$810 ,17.10%
6/1/2023,CHEVRON CORPORATION ,chevron corporation ,Denzel        Flores,Denzel Flores,Operations,Florida,Transfer,"$7,320 ",$933 ,12.70%
5/31/2023,COSTCO WHOLESALE CORPORATION ,costco wholesale corporation ,     Conor Wise,Conor Wise,Operations,Florida,Transfer,"$6,000 ",$998 ,16.60%
5/31/2023,MCDONALD'S CORPORATION ,mcdonald's corporation ,Steven     MIChael,Steven Michael,Big Data,California,Check,"$4,500 ",$780 ,17.30%
6/1/2023,AT&T INC. ,at&t inc. ,Bruno CordOVA,Bruno Cordova,Big Data,California,Transfer,"$5,088 ",$655 ,12.90%
6/1/2023,INTEL CORPORATION ,intel corporation ,jaylynn   napp,Jaylynn Napp,Big Data,California,Transfer,"$4,500 ",$722 ,16.00%
6/1/2023,GENERAL MOTORS COMPANY ,general motors company ,Bruce RICH,Bruce Rich,Big Data,California,Card,"$4,250 ",$901 ,21.20%
6/2/2023,MICROSOFT CORPORATION ,microsoft corporation ,     Arturo Moore,Arturo Moore,Big Data,California,PayPal,"$5,250 ","$1,349 ",25.70%
6/2/2023,COMCAST CORPORATION ,comcast corporation ,Bryce     Carpenter,Bryce Carpenter,Strategy,New York,PayPal,"$6,500 ","$1,288 ",19.80%
6/2/2023,DELL TECHNOLOGIES INC. ,dell technologies inc. ,Jaidyn ANDERSEN,Jaidyn Andersen,Strategy,New York,PayPal,"$7,500 ","$1,664 ",22.20%
6/2/2023,JOHNSON & JOHNSON ,johnson & johnson ,MARK WALM,Mark Walm,Strategy,New York,Transfer,"$5,500 ","$1,320 ",24.00%
6/2/2023,FEDEX CORPORATION ,fedex corporation ,HARRY LEE,Harry Lee,Strategy,New York,Transfer,"$4,625 ","$1,001 ",21.60%
6/2/2023,GENERAL ELECTRIC COMPANY ,general electric company ,JOSH JOHNSON,Josh Johnson,Strategy,New York,Transfer,"$4,500 ",$960 ,21.30%
6/2/2023,LOCKHEED MARTIN CORPORATION ,lockheed martin corporation ,Mik Naam,Mik Naam,Strategy,New York,Card,"$5,400 ",$540 ,10.00%
5/30/2023,"THE GOLDMAN SACHS GROUP, INC. ","the goldman sachs group, inc. ",David    Rasmussen,David Rasmussen,Operations,Florida,Check,"$5,000 ",$684 ,13.70%
